no,term
1,INCJ
2,人力
3,人工智慧
4,人才
5,人民幣
6,上漲
7,下挫
8,下滑
9,大陸
10,大數據
11,中信金
12,中鋼
13,互動
14,互聯網
15,元件
16,升息
17,友達
18,反映
19,手機
20,支付
21,日月光
22,日本
23,日經新聞
24,日線
25,月營收
26,比例
27,毛利率
28,水泥
29,出口
30,出售
31,出貨量
32,加強
33,占比
34,召開
35,台大
36,台股指數
37,台積電
38,台灣
39,外資
40,市值
41,平台
42,母公司
43,生技股
44,用戶
45,用於
46,交易日
47,企業
48,兆元
49,兆豐金
50,光電
51,全數
52,共計
53,危機
54,合作
55,合併營收
56,合約
57,地區
58,年成長
59,年減
60,收復
61,收購案
62,有望
63,作業
64,宏碁
65,技術
66,投資案
67,材料
68,決策
69,走跌
70,那斯達克指數
71,事件
72,併購案
73,來台
74,供應鏈
75,依舊
76,具備
77,和碩
78,季增
79,季線
80,季營收
81,官方
82,官員
83,往來銀行
84,拉回
85,拉抬
86,拖累
87,法人
88,法說會
89,注資
90,社長
91,股本
92,股份
93,股東
94,金額
95,亮眼
96,保守
97,品質
98,建設
99,持平
100,指數
101,科技股
102,科技業
103,紅盤
104,美國
105,計劃
106,重大訊息
107,面板技術
108,首次
109,香港
110,修正
111,個股
112,夏普
113,庫存
114,效益
115,效率
116,效應
117,時代
118,消費者
119,消費電子
120,紡織股
121,財報
122,偏多
123,售價
124,商機
125,國家
126,執行長
127,基本面
128,密切
129,專業
130,採購
131,控制
132,液晶電視
133,現場
134,終於
135,組裝廠
136,組織
137,規定
138,軟體
139,通路
140,郭台銘
141,陸股
142,創辦人
143,單位
144,報導
145,富士康
146,提到
147,提前
148,晶片
149,智能
150,期貨
151,發出
152,發生
153,短期
154,硬體
155,程序
156,程度
157,結盟
158,華爾街日報
159,華碩
160,虛擬實境
161,裁員
162,跌停
163,進軍
164,進場
165,進駐
166,量產
167,開拓
168,開放
169,開會
170,開盤
171,開賣
172,集團
173,項目
174,傳言
175,微軟
176,損失
177,新一代
178,新加坡
179,新低
180,新品
181,新興市場
182,會長
183,會面
184,業績
185,經濟部
186,群益
187,萬元
188,萬支
189,萬台
190,萬美元
191,萬張
192,董事會
193,解決方案
194,資料
195,資產
196,資源
197,道瓊工業指數
198,電子產品
199,鼓勵
200,網站
201,製程
202,增溫
203,廠區
204,廣達
205,數字
206,數量
207,模組
208,歐美
209,盤面
210,調查
211,調降
212,談判
213,銷售
214,學習
215,機會
216,機電
217,機種
218,獨家
219,臻鼎
220,鋼鐵
221,戴正吳
222,總裁
223,聯合
224,聯準會
225,賺錢
226,購買
227,邀請
228,韓股
229,韓國
230,鴻海
231,轉投資
232,轉型
233,轉盈
234,轉虧為盈
235,醫療
236,簽訂
237,簽署
238,證交所
239,證實
240,願意
241,競爭力
242,蘋果
243,議題
244,釋出
245,權值股
